order_id,date,customer_id,customer_age,customer_gender,product_id,product_name,category,unit_price,quantity,discount_percentage,promo,sales,payment_method,region,shipping_fee,delivery_time,delivery_status,customer_rating,return_status,device,website_visit_duration,order_channel,discount_code
O00756,2023-01-01,C7217,77,Male,P51191,Café,Alimentos,370.64,8,20,Sim,2372.1,Pix,Centro-Oeste,84.83,6,Cancelado,3,Sim,Mobile,376,Website,DISC912
O00678,2023-01-01,C1277,62,Male,P14934,Calça,Roupas,63.84,3,30,Sim,134.06,Cartão de Crédito,Norte,6.39,10,Entregue,3,Não,Desktop,89,App,DISC828
O01165,2023-01-01,C4606,61,Female,P61313,Smartwatch,Eletrônicos,111.05,10,0,Não,1110.5,Paypal,Nordeste,83.67,7,Em trânsito,4,Não,Mobile,331,App,
O00447,2023-01-01,C8901,38,Female,P35433,Autoajuda,Livros,478.74,2,0,Não,957.48,Dinheiro,Centro-Oeste,86.68,11,Cancelado,3,Não,Mobile,403,Website,
O01029,2023-01-01,C3195,53,Male,P34259,Maquiagem,Beleza,86.16,10,0,Não,861.6,Paypal,Centro-Oeste,99.58,5,Entregue,5,Não,Mobile,53,App,
O01988,2023-01-01,C2620,44,Female,P36709,Suco,Alimentos,350.59,1,25,Sim,262.94,Dinheiro,Sudeste,5.19,8,Em trânsito,4,Não,Mobile,490,Website,DISC811
O02011,2023-01-01,C1075,65,Male,P26944,Perfume,Beleza,44.35,10,25,Sim,332.62,Pix,Sul,19.28,12,Entregue,2,Não,Tablet,32,Website,DISC326
O00992,2023-01-01,C8846,36,Male,P44603,Pelúcia,Brinquedos,471.38,4,20,Sim,1508.42,Cartão de Crédito,Nordeste,17.3,2,Em trânsito,4,Não,Mobile,485,App,DISC101
O02071,2023-01-01,C4406,52,Other,P26017,Laptop,Eletrônicos,232.95,5,5,Sim,1106.51,Cartão de Crédito,Centro-Oeste,94.39,13,Entregue,3,Não,Desktop,257,App,DISC529
O00649,2023-01-01,C3566,71,Female,P83246,Cadeira,Móveis,346.16,7,25,Sim,1817.34,Pix,Nordeste,51.57,4,Cancelado,1,Não,Desktop,153,App,DISC392
O00849,2023-01-01,C4156,50,Male,P19941,Perfume,Beleza,369.96,4,10,Sim,1331.86,Paypal,Norte,30.18,4,Entregue,1,Não,Tablet,449,App,DISC287
O01290,2023-01-02,C7079,48,Female,P72349,Carrinho,Brinquedos,48.32,4,10,Sim,173.95,Boleto,Sudeste,43.88,4,Entregue,2,Não,Desktop,270,App,DISC396
O02911,2023-01-02,C3657,57,Male,P20677,Quebra-cabeça,Brinquedos,257.66,4,30,Sim,721.45,Paypal,Nordeste,7.09,6,Entregue,5,Não,Mobile,56,Website,DISC928
O00264,2023-01-02,C2431,36,Female,P19958,Pipoca,Alimentos,327.94,6,10,Sim,1770.88,Dinheiro,Sudeste,5.41,7,Atrasado,5,Não,Mobile,259,App,DISC198
O00207,2023-01-02,C7132,30,Female,P43539,Calça,Roupas,355.41,1,20,Sim,284.33,Paypal,Sudeste,63.7,6,Entregue,4,Não,Desktop,366,Website,DISC495
O01949,2023-01-02,C7519,59,Male,P72235,Estante,Móveis,498.17,1,20,Sim,398.54,Pix,Centro-Oeste,89.76,13,Entregue,3,Não,Desktop,357,Website,DISC493
O01824,2023-01-02,C2625,26,Female,P67193,Pipoca,Alimentos,30.97,2,0,Não,61.94,Pix,Sul,8.0,6,Entregue,5,Não,Mobile,36,Website,
O02174,2023-01-02,C4981,56,Female,P52294,Quebra-cabeça,Brinquedos,106.33,6,25,Sim,478.48,Cartão de Crédito,Centro-Oeste,10.2,13,Entregue,4,Não,Desktop,92,App,DISC855
O00064,2023-01-02,C9179,49,Female,P96366,Mesa,Móveis,236.54,8,10,Sim,1703.09,Pix,Sul,78.49,10,Entregue,4,Não,Desktop,150,App,DISC538
O02732,2023-01-03,C4197,54,Female,P48377,Biscoito,Alimentos,475.49,4,30,Sim,1331.37,Cartão de Crédito,Norte,56.94,13,Entregue,5,Não,Desktop,304,App,DISC838
O01519,2023-01-03,C7953,25,Female,P87614,Smartphone,Eletrônicos,223.0,6,5,Sim,1271.1,Paypal,Norte,87.83,10,Em trânsito,4,Não,Desktop,98,App,DISC213
O01578,2023-01-03,C1529,28,Female,P47487,Corda,Esportes,282.17,7,20,Sim,1580.15,Boleto,Sul,25.0,6,Entregue,4,Não,Mobile,178,App,DISC560
O02678,2023-01-03,C1790,69,Male,P88040,Sapato,Roupas,121.51,10,0,Não,1215.1,Pix,Sudeste,63.06,3,Entregue,2,Não,Desktop,573,Website,
O02125,2023-01-03,C7636,72,Female,P95717,História,Livros,454.66,7,30,Sim,2227.83,Paypal,Sul,69.1,14,Entregue,5,Não,Desktop,460,Website,DISC302
O02658,2023-01-03,C4676,20,Female,P99928,Smartwatch,Eletrônicos,487.09,6,0,Não,2922.54,Pix,Nordeste,59.76,10,Entregue,4,Não,Desktop,253,App,
O02322,2023-01-03,C8707,23,Male,P27985,Pipoca,Alimentos,253.53,4,15,Sim,862.0,Boleto,Norte,28.09,14,Entregue,5,Não,Mobile,572,Website,DISC815
O00896,2023-01-03,C1406,42,Female,P17806,Laptop,Eletrônicos,419.83,1,20,Sim,335.86,Dinheiro,Sudeste,36.81,6,Entregue,2,Não,Mobile,181,App,DISC868
O01865,2023-01-03,C8962,23,Male,P80410,Camiseta,Roupas,488.56,2,25,Sim,732.84,Boleto,Nordeste,84.16,10,Cancelado,2,Não,Desktop,363,App,DISC642
O00497,2023-01-04,C6686,41,Female,P12106,Vestido,Roupas,220.09,3,15,Sim,561.23,Pix,Centro-Oeste,61.22,11,Atrasado,5,Não,Mobile,352,App,DISC565
O01912,2023-01-04,C4558,37,Male,P92051,Corda,Esportes,231.06,2,25,Sim,346.59,Boleto,Sudeste,91.06,13,Em trânsito,2,Não,Desktop,172,App,DISC395
O01329,2023-01-04,C1489,64,Male,P96089,Biografia,Livros,444.34,1,0,Não,444.34,Dinheiro,Sudeste,67.57,13,Entregue,3,Não,Mobile,453,App,
O01487,2023-01-04,C8605,37,Female,P40066,Pipoca,Alimentos,103.16,7,30,Sim,505.48,Cartão de Crédito,Nordeste,60.0,1,Em trânsito,3,Não,Mobile,61,Website,DISC635
O00326,2023-01-04,C5009,30,Male,P65467,Vestido,Roupas,225.11,7,20,Sim,1260.62,Boleto,Centro-Oeste,36.42,5,Entregue,2,Não,Desktop,42,Website,DISC888
O01724,2023-01-04,C2051,35,Male,P54830,Pipoca,Alimentos,246.23,9,5,Sim,2105.27,Paypal,Sul,28.71,8,Cancelado,1,Não,Desktop,387,App,DISC496
O02729,2023-01-04,C1913,61,Male,P30249,Bola,Esportes,125.25,3,25,Sim,281.81,Cartão de Crédito,Sudeste,25.5,8,Entregue,4,Não,Mobile,485,App,DISC687
O00949,2023-01-04,C9850,57,Female,P38610,Suco,Alimentos,196.07,1,5,Sim,186.27,Boleto,Nordeste,26.27,6,Entregue,1,Não,Tablet,477,Website,DISC327
O00969,2023-01-04,C9160,36,Male,P55805,Smartphone,Eletrônicos,453.72,5,30,Sim,1588.02,Pix,Sul,46.35,7,Entregue,5,Não,Mobile,188,Website,DISC612
O00721,2023-01-05,C9811,79,Male,P25090,Romance,Livros,169.08,4,20,Sim,541.06,Boleto,Sul,98.3,10,Entregue,5,Não,Desktop,197,App,DISC226
O00416,2023-01-05,C4119,73,Female,P21255,Boneca,Brinquedos,78.36,6,5,Sim,446.65,Pix,Nordeste,12.75,4,Entregue,1,Não,Mobile,170,Website,DISC116
O01045,2023-01-05,C9751,47,Male,P59490,Perfume,Beleza,416.31,3,10,Sim,1124.04,Boleto,Nordeste,14.49,11,Entregue,5,Não,Mobile,383,App,DISC709
O02052,2023-01-05,C9476,28,Other,P22328,Pipoca,Alimentos,466.48,6,10,Sim,2518.99,Pix,Nordeste,51.91,6,Entregue,3,Não,Desktop,535,Website,DISC676
O01562,2023-01-05,C8522,65,Female,P62320,Biscoito,Alimentos,254.96,1,30,Sim,178.47,Cartão de Crédito,Nordeste,30.68,9,Entregue,3,Não,Mobile,154,Website,DISC123
O00129,2023-01-05,C2492,35,Female,P61057,História,Livros,438.06,2,20,Sim,700.9,Paypal,Sudeste,46.59,2,Em trânsito,5,Não,Mobile,183,App,DISC489
O02910,2023-01-05,C3601,48,Female,P32601,Corda,Esportes,451.2,7,0,Não,3158.4,Dinheiro,Centro-Oeste,61.87,7,Entregue,4,Não,Mobile,424,App,
O01092,2023-01-05,C3346,58,Female,P87160,Smartphone,Eletrônicos,432.9,7,30,Sim,2121.21,Pix,Sul,61.55,2,Entregue,4,Não,Mobile,162,Website,DISC925
O02282,2023-01-05,C7578,46,Female,P71978,História,Livros,329.17,8,5,Sim,2501.69,Cartão de Crédito,Nordeste,61.23,1,Entregue,3,Não,Mobile,325,App,DISC650
O02331,2023-01-05,C5443,27,Male,P36691,Halteres,Esportes,292.21,8,20,Sim,1870.14,Dinheiro,Sudeste,42.36,2,Cancelado,2,Não,Mobile,521,App,DISC606
O02432,2023-01-05,C6982,52,Male,P47410,Biscoito,Alimentos,477.13,2,20,Sim,763.41,Cartão de Crédito,Nordeste,67.36,9,Entregue,5,Não,Mobile,240,App,DISC609
O00614,2023-01-05,C8982,51,Male,P93406,Chocolate,Alimentos,483.5,8,25,Sim,2901.0,Boleto,Sul,64.8,7,Entregue,3,Sim,Desktop,478,Website,DISC770
O00843,2023-01-05,C1824,53,Female,P81474,Cadeira,Móveis,126.53,1,20,Sim,101.22,Pix,Sul,56.88,4,Entregue,4,Não,Mobile,343,App,DISC312
O00965,2023-01-06,C5690,22,Male,P20886,Raquete,Esportes,240.77,3,5,Sim,686.19,Boleto,Sudeste,92.71,12,Entregue,4,Não,Desktop,496,Website,DISC522
O00335,2023-01-06,C1785,36,Male,P33557,Mesa,Móveis,437.95,5,0,Não,2189.75,Dinheiro,Sudeste,74.09,11,Entregue,2,Não,Mobile,187,App,
O00935,2023-01-06,C3972,79,Female,P28632,Tablet,Eletrônicos,206.16,10,25,Sim,1546.2,Paypal,Nordeste,8.67,14,Entregue,5,Não,Mobile,465,App,DISC359
O00742,2023-01-06,C6366,21,Male,P34992,Tablet,Eletrônicos,443.14,2,0,Não,886.28,Cartão de Crédito,Nordeste,82.96,6,Em trânsito,4,Não,Mobile,548,App,
O00895,2023-01-07,C4072,20,Male,P57565,Cama,Móveis,393.7,8,20,Sim,2519.68,Boleto,Sul,14.4,5,Entregue,5,Não,Mobile,34,Website,DISC766
O02382,2023-01-07,C6185,51,Male,P94886,Calça,Roupas,263.27,10,0,Não,2632.7,Boleto,Centro-Oeste,39.11,12,Entregue,4,Não,Desktop,271,App,
O02468,2023-01-07,C7477,45,Female,P37470,Biscoito,Alimentos,467.07,8,25,Sim,2802.42,Pix,Centro-Oeste,52.51,4,Entregue,3,Não,Mobile,596,App,DISC528
O02863,2023-01-07,C5567,55,Male,P94971,Boneca,Brinquedos,288.87,5,10,Sim,1299.92,Paypal,Norte,89.97,6,Em trânsito,1,Não,Desktop,502,App,DISC358
O01860,2023-01-07,C3821,42,Male,P25600,Smartwatch,Eletrônicos,79.27,8,5,Sim,602.45,Boleto,Norte,52.62,8,Em trânsito,5,Não,Desktop,307,App,DISC381
O01715,2023-01-07,C9690,64,Other,P51876,Biscoito,Alimentos,230.92,7,0,Não,1616.44,Pix,Nordeste,50.07,12,Entregue,4,Não,Mobile,330,App,
O01278,2023-01-07,C3763,39,Male,P58737,Ficção Científica,Livros,263.98,5,20,Sim,1055.92,Paypal,Sul,98.56,3,Entregue,3,Não,Mobile,329,Website,DISC295
O00606,2023-01-07,C6184,22,Male,P47489,Lego,Brinquedos,180.19,8,25,Sim,1081.14,Paypal,Norte,59.58,11,Entregue,5,Não,Desktop,548,App,DISC826
O01463,2023-01-07,C5749,38,Female,P38520,Cadeira,Móveis,114.21,5,10,Sim,513.94,Pix,Norte,40.31,3,Entregue,1,Não,Mobile,171,Website,DISC223
O01651,2023-01-07,C3979,65,Male,P88283,Tablet,Eletrônicos,106.35,1,10,Sim,95.72,Boleto,Centro-Oeste,24.38,9,Entregue,5,Não,Mobile,77,Website,DISC632
O01251,2023-01-08,C8374,42,Female,P98794,Carrinho,Brinquedos,89.75,4,10,Sim,323.1,Paypal,Sul,43.45,6,Entregue,3,Não,Mobile,598,Website,DISC835
